cluster,rank,ngram,lift,cluster_mass
6,1,action@hi.fpt.vn/dkol/product-detail#Home/action_wifi_2GHz,681.055,0.9583
6,2,action@hi.fpt.vn/dkol/product-detail#btn_back action@hi.fpt.vn/dkol/product-detail#Home/action_wifi_2GHz,671.236,0.7257
6,3,action@hi.fpt.vn/dkol/product-detail#Home/do_action/MODEM_TURN_ON_OFF,601.066,0.7309
6,4,action@android/Home#popup <eos>,583.711,131.0574
6,5,action@HiWebViewActivitySingleTop#Home/action_wifi_5GHz action@HiWebViewActivitySingleTop#android/wifi_bottom_sheet_home/turn_on_wifi_5GHz,508.64,1.9418
6,6,action@HiWebViewActivitySingleTop#android/wifi_bottom_sheet_home/turn_on_wifi_2GHz action@HiWebViewActivitySingleTop#Home/do_action/MODEM_TURN_ON_OFF,502.583,1.2369
6,7,action@HiWebViewActivitySingleTop#android/wifi_bottom_sheet_home/turn_on_wifi_2GHz,469.646,1.2369
6,8,action@HiWebViewActivitySingleTop#Home/action_wifi_2GHz action@HiWebViewActivitySingleTop#android/wifi_bottom_sheet_home/turn_on_wifi_2GHz,469.646,1.2369
7,1,action@hi.fpt.vn/web/shop/product-management-v920?cat_id=4#btn_back action@hi.fpt.vn/web/shop/product-management-v920?cat_id=4#web/Header/BackButton,288.168,0.2508
7,2,action@hi.fpt.vn/web/shop/product-management-v920?cat_id=4#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/loyalty-webview/hifpt/voucher/detail,236.063,0.2483
7,3,action@hi.fpt.vn/web/shop/product-management-v920?cat_id=4#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/loyalty-webview/hifpt/voucher/detail view@HiWebViewActivitySingleTop,236.063,0.2483
7,4,action@android/PAYMENT/LISTAUTOPAY#select_new_method view@android/Home/Payment/payment_history,134.005,0.3777
7,5,view@hi.fpt.vn/web/shop/home view@hi.fpt.vn/web/shop/product-management-v920?cat_id=6,101.728,0.2267
7,6,action@android/home/notification#btn_back view@HOME,99.402,49.7714
7,7,view@hi.fpt.vn/web/shop/product-management-v920?cat_id=6 action@hi.fpt.vn/web/shop/product-management-v920?cat_id=6#web/Header/BackButton,78.59,0.2228
7,8,action@hi.fpt.vn/web/shop/product-management-v920?cat_id=6#web/Header/BackButton action@hi.fpt.vn/web/shop/product-management-v920?cat_id=6#btn_back,77.431,0.2224
8,1,action@android/PAYMENT/LISTAUTOPAY#manage_autopay/bill_date view@android/home/payment,975.557,0.3783
8,2,action@android/home/payment#Home/payment/select_bill/block_prepay action@android/home/payment#android/home/payment/choose_autopay,609.851,0.4709
8,3,action@android/Home#android/Home/Click_call_event_tracking view@android/home/payment,528.159,0.5211
8,4,action@android/PAYMENT/LISTAUTOPAY#select_new_method action@android/PAYMENT/LISTAUTOPAY#manage_autopay/bill_date,403.428,0.3522
8,5,action@android/Home/Payment/Notification_channel/Registration_history#btn_back view@android/Home/Payment/Notification_channel,292.114,0.1825
8,6,action@android/Home#sa_short_msg view@android/home/payment,287.777,0.4873
8,7,view@android/Home/Payment/Notification_channel action@android/Home/Payment/Notification_channel#android/Home/Payment/Setting/Notification_channel/Registration_history,216.998,0.1783
8,8,action@android/Home/Payment/Notification_channel#android/Home/Payment/Setting/Notification_channel/Registration_history view@android/Home/Payment/Notification_channel/Registration_history,184.876,0.1763
9,1,action@android/Home/Payment/payment_history#android/Home/Payment/payment_history/history_filter action@android/Home/Payment/payment_history#android/home/home_service_management/internet_service_tab/device_control/click_search_device,511.133,0.4201
9,2,action@android/Home/Contract_List#contract_list/contract_list_reload view@HOME,200.176,0.5149
9,3,action@android/Home/Payment/payment_history#android/home/home_service_management/internet_service_tab/device_control/click_search_device action@android/Home/Payment/payment_history#btn_back,177.088,0.7907
9,4,view@loyalty_home_view view@android/home/payment,110.868,0.4084
9,5,view@android/Home/Contract_List view@android/Home,109.73,9.8228
9,6,view@android/Home/Contract_List view@HOME,109.108,23.5712
9,7,action@<missing>#btn_back action@<missing>#android/Home/change_contract,97.648,0.3787
9,8,view@PaymentNapasWebViewActivity view@android/Home/Payment/payment_history,97.034,0.657
10,1,action@android/Home#btn_back action@android/Home#android/home/popup_remind/skip_remind,984.279,0.5876
10,2,action@android/Home#android/home/popup_remind/skip_remind <eos>,813.013,55.2719
10,3,action@android/home/home_service_management/internet_service_tab/modem_control#Home/{id}/smart_link/https://hi.fpt.vn/sm/report_detail view@ReportDetailScreen,769.672,0.3493
10,4,action@android/home/home_service_management/internet_service_tab/modem_control#Home/{id}/smart_link/https://hi.fpt.vn/sm/report_detail,769.672,0.3493
10,5,view@android/Home view@CONTRACT/FPricesEContract,747.9,0.6731
10,6,action@android/Home#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/ultrafast/ultra-fast-purchase/home view@hi.fpt.vn/web/shop/home,630.31,0.4586
10,7,action@android/Home#Home/action_wifi_5GHz view@android/login,627.878,0.6869
10,8,action@hi.fpt.vn/dkol/product-detail?cat_id=4&ordertype=1#btn_back shop/catalog,622.425,0.1314
11,1,action@android/Home#android/wifi_bottom_sheet_home/copy_password_2GHz action@android/Home#Home/{id}/{id}/do_action/CALL_API_GET_ACTION,996.532,0.6053
11,2,action@android/Home#android/wifi_bottom_sheet_home/set_ssid_password_wifi_home_band_2GHz action@android/Home#Home/{id}/{id}/do_action/CALL_API_GET_ACTION,627.538,1.2314
11,3,action@android/Home#Home/action_wifi_2GHz action@android/Home#Home/{id}/do_action/CALL_API_GET_ACTION,521.419,1.2577
11,4,action@android/Home#Home/action_wifi_2GHz action@android/Home#Home/{id}/{id}/do_action/CALL_API_GET_ACTION,510.976,42.3947
11,5,action@android/Home#invite_update_cancel action@android/Home#Home/action_wifi_2GHz,303.674,1.729
11,6,action@android/Home#android/wifi_bottom_sheet_home/set_ssid_password_wifi_home_band_2GHz action@android/Home#Home/action_wifi_2GHz,263.845,0.5361
11,7,action@android/Home#Home/action_wifi_5GHz action@android/Home#Home/{id}/do_action/CALL_API_GET_ACTION,158.598,1.0582
11,8,view@android/Home action@android/Home#Home/action_wifi_2GHz,127.174,33.2142
12,1,action@ErrorCheckingDrSmartScreen#android/Home/Support/check_error/scan_result/reject_reboot action@ErrorCheckingDrSmartScreen#android/Home/Header/go_to_screen/Notification,1784.371,1.4911
12,2,action@ErrorCheckingDrSmartScreen#android/Home/Home_pull_to_refresh action@ErrorCheckingDrSmartScreen#android/Home/Header/go_to_screen/Notification,1294.772,5.9
12,3,action@ErrorCheckingDrSmartScreen#Home/action_wifi_guest action@ErrorCheckingDrSmartScreen#android/Home/Header/go_to_screen/Notification,997.764,1.789
12,4,action@ErrorCheckingDrSmartScreen#android/Home/Header/go_to_screen/Notification view@android/home/notification,968.63,72.1995
12,5,action@ErrorCheckingDrSmartScreen#Home/{id}/{id}/do_action/CALL_API_GET_ACTION action@ErrorCheckingDrSmartScreen#android/Home/Header/go_to_screen/Notification,911.818,6.975
12,6,action@ErrorCheckingDrSmartScreen#Home/action_wifi_5GHz action@ErrorCheckingDrSmartScreen#android/Home/Header/go_to_screen/Notification,903.414,2.4999
12,7,action@ErrorCheckingDrSmartScreen#Home/do_action/MODEM_RESET action@ErrorCheckingDrSmartScreen#android/Home/Header/go_to_screen/Notification,828.875,8.2129
12,8,action@<missing>#android/NotificationButtonDetail view@ErrorCheckingDrSmartScreen,669.974,1.7217
13,1,action@android/Home#Home/do_action/MODEM_RESET action@android/Home#Home/Nav_home,804.627,4.1292
13,2,action@<missing>#android/Home/account/edit_avatar view@android/Home,631.619,0.5117
13,3,<bos> action@<missing>#android/Home/account/edit_avatar,599.255,0.5117
13,4,action@android/Account#android/Home/Account/Contract_Management,527.342,0.4627
13,5,action@android/Home#Home/do_action/MODEM_RESET action@android/Home#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/shop/product-management-v920?cat_id=3,526.588,0.5649
13,6,action@android/Home#Home/Nav_home action@android/Home#Home/null/{id}/do_action/CALL_API_GET_ACTION,391.339,3.4796
13,7,action@android/Home#Home/do_action/MODEM_RESET action@android/Home#Home/{id}/go_to_screen/E_CONTRACT_QUOTATION,334.861,0.571
13,8,action@android/Home#Home/do_action/MODEM_RESET action@android/Home#android/Home/Header/go_to_screen/Profile,331.582,1.0306
14,1,action@<missing>#Home/payment/choose_prepaid_package view@android/login_screen/OTP_screen,3561.645,35.2602
14,2,action@CONTRACT/FPricesEContract#android/HOME/VIEW_DETAILS/E_CONTRACT/E_CONTRACT_BLOCK/CONTRACT_CONFIRM/CONTRACT_TAB,2123.462,0.463
14,3,account/contract <eos>,1284.949,0.4499
14,4,action@android/Home#invite_update_close action@android/Home#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/loyalty-webview/hifpt/voucher/detail,1279.19,0.4538
14,5,action@android/Home#android/home/popup_remind/setting_noti action@android/Home#banner,1254.115,0.4204
14,6,action@android/Home#invite_update_close action@android/Home#Home/{id}/go_to_screen/FAVORITE_FEATURE,1243.893,0.4173
14,7,view@android/Home view@CONTRACT/FPricesEContract,701.038,0.4351
14,8,action@android/Home#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/loyalty-webview/hifpt/voucher/detail <eos>,676.86,0.4376
15,1,action@HOME#Home/do_action/MODEM_RESET action@HOME#view_os_noti,4144.042,5.7808
15,2,action@HOME#android/NotificationButtonDetail <eos>,3962.006,1.495
15,3,action@HOME#view_os_noti action@HOME#android/NotificationButtonDetail,2378.491,1.3082
15,4,action@HOME#android/NotificationButtonDetail,2134.55,2.5402
15,5,action@HOME#view_os_noti <eos>,1849.509,5.9209
15,6,view@HOME action@HOME#android/NotificationButtonDetail,1758.657,0.9132
15,7,view@NotificationDetailActivity view@HOME,1621.98,11.7171
15,8,view@android/NOTIFICATION/DETAIL action@android/NOTIFICATION/DETAIL#sa_short_msg,1545.764,0.4834
16,1,action@internet_fprotect_screen/management_device/management_device_screen#btn_back view@HOME,1694.868,102.9589
16,2,action@<missing>#internet_fprotect_screen/management_device/management_device_screen/devices_details/device_information/mark_trusted_devices action@<missing>#btn_back,460.489,0.4834
16,3,<bos> action@<missing>#internet_fprotect_screen/management_device/management_device_screen/devices_details/device_information/mark_trusted_devices,377.674,0.4726
16,4,action@<missing>#internet_fprotect_screen/management_device/management_device_screen/devices_details/device_information/mark_trusted_devices,295.857,0.4641
16,5,action@<missing>#Home/null/{id}/do_action/CALL_API_GET_ACTION view@internet_fprotect_screen/management_device/management_device_screen,190.017,0.503
16,6,action@<missing>#Home/{id}/do_action/CALL_API_GET_ACTION view@internet_fprotect_screen/management_device/management_device_screen,169.133,0.8891
16,7,action@<missing>#btn_back view@internet_fprotect_screen/management_device/management_device_screen,155.753,43.3313
16,8,<bos> action@<missing>#Home/null/{id}/do_action/CALL_API_GET_ACTION,136.632,0.4875
17,1,action@android/Home#Home/Nav_home action@android/Home#Home/null/{id}/do_action/CALL_API_GET_ACTION,209.515,1.0798
17,2,action@android/Home#Home/Nav_home action@android/Home#Home/{id}/{id}/do_action/CALL_API_GET_ACTION,153.397,57.4446
17,3,view@android/home/payment view@android/Home,70.892,56.7196
17,4,action@android/Home#Home/Nav_home action@android/Home#sa_mascot_close,58.036,2.8742
17,5,action@internet_fprotect_screen/management_device/management_device_screen#internet_fprotect_screen/management_device/management_device_screen/devices_tab_connected action@internet_fprotect_screen/management_device/management_device_screen#internet_fprotect_screen/management_device/management_device_screen/devices_searching,43.401,0.4738
17,6,action@internet_fprotect_screen/management_device/management_device_screen#internet_fprotect_screen/management_device/management_device_screen/devices_searching <eos>,38.714,0.4793
17,7,action@android/Home#Home/Nav_home action@android/Home#android/Home/Home_pull_to_refresh,21.266,3.9877
17,8,view@android/Home action@android/Home#Home/Nav_home,20.75,41.5938
18,1,action@android/Home/Contract_List#adsview view@android/Home,661.764,0.6039
18,2,action@android/Home/Payment/Notification_channel#android/Home/Payment/Setting/Notification_channel/Turn_off_notification_channel action@android/Home/Payment/Notification_channel#android/Home/Payment/Setting/Notification_channel/Turn_on_notification_channel,409.311,0.2361
18,3,action@android/Home/Payment/Notification_channel#android/Home/Payment/Setting/Notification_channel/Turn_on_notification_channel action@android/Home/Payment/Notification_channel#android/Home/Payment/Setting/Notification_channel/Turn_off_notification_channel,205.482,0.2264
18,4,action@android/home/payment#select_bill action@android/home/payment#android/Home/Payment/Setting,135.317,0.3412
18,5,view@android/Home/Contract_List view@HOME,116.709,27.3666
18,6,action@android/Home/Contract_List#btn_back view@HOME,101.426,31.5876
18,7,action@android/Home/Payment/Notification_channel#android/Home/Payment/Setting/Notification_channel/Turn_off_notification_channel,99.903,0.2132
18,8,view@android/Home/Contract_List view@android/Home,83.775,8.1398
19,1,action@android/Home#Support_confirm_close_confirm view@android/login,6086.0,45.6251
19,2,view@UnConfirmEContractScreenData view@android/login,2744.934,2.6768
19,3,<bos> view@ReportStatusScreen,2654.15,1.4074
19,4,view@android/home/support_create view@android/login,2297.973,7.4319
19,5,action@android/login#guest/Support_confirm_close_confirm view@android/login,2096.362,1.1881
19,6,view@android/login view@android/home/support_create,1725.412,7.7262
19,7,action@android/login#guest/Support_confirm_close_confirm,1696.3,1.1698
19,8,view@android/login action@android/login#guest/Support_confirm_close_confirm,1696.3,1.1698
20,1,action@android/Home#Home/do_action/MODEM_RESET action@android/Home#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/shop/product-management-v920?cat_id=3,302.511,0.9184
20,2,action@android/Home#android/home/popup_remind/skip_remind action@android/Home#sa_msg_close,272.739,14.3419
20,3,view@internet_fprotect_screen/view_profiles_devices/profiles_devices_detail/internet_break_screen view@HOME,229.001,0.5173
20,4,action@<missing>#guest/android/login/login_with_otp,189.975,0.4565
20,5,action@<missing>#guest/android/login/continue_login action@<missing>#guest/android/login/login_with_otp,189.975,0.4565
20,6,action@<missing>#guest/android/login/login_with_otp view@android/login_screen/OTP_screen,189.975,0.4565
20,7,action@android/Home#Home/do_action/MODEM_RESET action@android/Home#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/shop/product-management-v920?cat_id=4,156.421,0.9974
20,8,action@android/Home#Home/do_action/MODEM_RESET action@android/Home#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/shop/product-management-v920?cat_id=2,153.978,0.582
21,1,view@android/Home action@android/Home#android/Home/Payment/payment_history,2971.065,1.0148
21,2,<bos> view@android/Home/Payment/payment_history,2243.797,2.1117
21,3,action@android/Home#android/Home/Payment/payment_history,1761.861,0.9785
21,4,action@android/Home#android/Home/Payment/payment_history view@android/Home/Payment/payment_history,1761.861,0.9785
21,5,view@HOME action@HOME#android/Home/Payment/payment_history,1127.657,39.0831
21,6,<bos> action@<missing>#manage_autopay/fixed_day,1089.249,0.5197
21,7,action@HOME#android/Home/Payment/payment_history,1082.698,39.7387
21,8,action@HOME#android/Home/Payment/payment_history view@android/Home/Payment/payment_history,1082.698,39.7387
22,1,action@android/Home#Home/do_action/MODEM_RESET view@NotificationDetailActivity,2096.96,5.1837
22,2,action@android/Home#Home/do_action/MODEM_RESET action@android/Home#view_os_noti,1569.494,128.7019
22,3,action@android/Home#sa_mascot_close action@android/Home#view_os_noti,1063.173,2.6217
22,4,action@android/NOTIFICATION/DETAIL#Home/action_wifi_5GHz action@android/NOTIFICATION/DETAIL#android/Home/Home_pull_to_refresh,437.295,0.3333
22,5,action@android/NOTIFICATION/DETAIL#android/wifi_bottom_sheet_home/turn_off_wifi_5GHz action@android/NOTIFICATION/DETAIL#Home/action_wifi_guest,423.501,0.4202
22,6,action@android/NOTIFICATION/DETAIL#Home/{id}/{id}/do_action/CALL_API_GET_ACTION <eos>,418.881,6.3113
22,7,action@android/NOTIFICATION/DETAIL#Home/SRConfirm/Completed <eos>,363.682,0.9554
22,8,action@android/Home#Home/{id}/{id}/do_action/CALL_API_GET_ACTION action@android/Home#view_os_noti,361.881,3.6565
23,1,action@<missing>#Home/payment/click_update_bill view@android/Home,156.941,0.4413
23,2,view@android/Home/Contract_List/Contract_Management <eos>,93.754,0.4702
23,3,view@android/Home/Contract_List view@HOME,93.504,25.5465
23,4,action@android/home/notification#android/Home/Home_pull_to_refresh action@android/home/notification#btn_back,71.415,0.8707
23,5,action@HOME#android/Home/Header/go_to_screen/Notification view@android/home/notification,68.643,7.4443
23,6,action@android/Home/Contract_List#btn_back view@HOME,59.799,21.6994
23,7,view@HOME action@HOME#android/Home/Header/go_to_screen/Notification,55.508,7.2148
23,8,view@android/Home/Contract_List view@android/Home,49.581,5.613
24,1,action@android/home/notification#btn_back view@HOME,106.316,33.6081
24,2,<bos> action@<missing>#Home/{id}/go_to_screen/SURVEY_ALL_CURRENT,97.964,0.3678
24,3,view@android/home/notification action@android/home/notification#btn_back,33.775,28.1925
24,4,view@android/Home action@android/Home#android/Home/change_contract,31.146,27.5062
24,5,action@android/home/notification#btn_back,30.393,27.525
24,6,action@<missing>#Home/{id}/go_to_screen/SURVEY_ALL_CURRENT view@HiWebViewScreen,28.926,0.3243
24,7,action@<missing>#Home/{id}/go_to_screen/SURVEY_ALL_CURRENT,24.762,0.3193
24,8,action@HiWebViewScreen#android/Home/Header/go_to_screen/Notification view@android/home/notification,23.38,0.3164
25,1,action@ErrorCheckingDrSmartScreen#Home/do_action/MODEM_RESET view@android/home/payment,1587.442,5.1716
25,2,action@ErrorCheckingDrSmartScreen#Home/{id}/{id}/do_action/CALL_API_GET_ACTION view@android/home/payment,1578.424,11.2226
25,3,action@ErrorCheckingDrSmartScreen#android/Home/Home_pull_to_refresh view@android/home/payment,1334.233,2.5536
25,4,action@ErrorCheckingDrSmartScreen#Home/Nav_home view@android/home/payment,1279.89,1.5892
25,5,action@ErrorCheckingDrSmartScreen#android/Home/Support/check_error/scan_result/suggest_fix_result view@android/home/payment,1249.725,3.3116
25,6,view@ErrorCheckingDrSmartScreen view@android/home/payment,1202.002,77.7308
25,7,action@ErrorCheckingDrSmartScreen#android/Home/Support/check_error/scan_result/reject_reboot view@android/home/payment,1099.719,1.1891
25,8,action@ErrorCheckingDrSmartScreen#android/Home/Home_pull_to_refresh action@ErrorCheckingDrSmartScreen#Home/{id}/smart_link/https://hi.fpt.vn/sm/report_detail,1072.828,0.7836
26,1,<bos> action@<missing>#force_update,682.649,0.7871
26,2,action@<missing>#force_update,682.649,0.7871
26,3,action@<missing>#force_update view@HOME,682.649,0.7871
26,4,action@android/home/qr_payment#android/home/qr_payment/share_qr view@android/home/payment,462.423,0.4624
26,5,action@android/home/qr_payment#adsview action@android/home/qr_payment#android/home/qr_payment/save_qr,391.261,0.384
26,6,action@android/Home#android/home/popup_remind/skip_remind action@android/Home#Home/{id}/do_action/PAYMENT_HOME,333.652,50.3411
26,7,action@android/Home#Home/{id}/do_action/PAYMENT_HOME view@android/home/payment,181.149,46.2201
26,8,action@android/home/payment#Home/payment/delete_prepaid_bill action@android/home/payment#home/payment/choose_autopay,180.179,0.3248
27,1,action@GuestBillingUtilitiesScreenData#guest/Payment-ultilities/Buttons/Click_close_login_popup <eos>,3276.149,3.8968
27,2,view@GuestBillingTabScreenData view@HOME,3100.55,2.6388
27,3,action@HOME#guest/Account-Setting-Guest/Buttons/Click_terms_of_use view@LoginForGuestDialogData,3035.994,1.9261
27,4,view@HOME action@HOME#guest/Account-Setting-Guest/Buttons/Click_terms_of_use,3035.994,1.9261
27,5,action@HOME#guest/Account-Setting-Guest/Buttons/Click_terms_of_use,3035.994,1.9261
27,6,action@HOME#guest/Payment_guest/buttons/Click_view_utilities,2831.641,4.3147
27,7,action@HOME#guest/Payment_guest/buttons/Click_view_utilities view@GuestBillingUtilitiesScreenData,2831.641,4.3147
27,8,view@HOME action@HOME#guest/Payment_guest/buttons/Click_view_utilities,2831.641,4.3147
28,1,action@android/Home#invite_update_accept action@android/Home#Home/{id}/go_to_screen/ECOUNTER_SERVICE_EXTEND,2417.908,2.9341
28,2,action@android/Home#android/home/popup_remind/setting_noti action@android/Home#Home/{id}/go_to_screen/ECOUNTER_SERVICE_EXTEND,1104.423,3.4477
28,3,<bos> view@android/home/payment/setting,901.039,0.5591
28,4,view@android/Home action@android/Home#Home/{id}/go_to_screen/ECOUNTER_SERVICE_EXTEND,831.956,63.201
28,5,view@android/Home/payment_extend_detail <eos>,514.826,69.6845
28,6,action@android/Home#sa_full_msg view@android/Home/payment_extend_detail,448.013,4.9157
28,7,action@android/Home/payment_extend_detail#adsview <eos>,370.547,0.5109
28,8,action@android/Home#Home/{id}/go_to_screen/ECOUNTER_SERVICE_EXTEND view@android/Home/payment_extend_detail,358.971,58.962
29,1,action@android/Home#invite_update_close action@android/Home#Home/{id}/go_to_screen/ECOUNTER_SERVICE_EXTEND,1408.281,10.0156
29,2,action@android/Home#sa_msg_close action@android/Home#Home/{id}/go_to_screen/ECOUNTER_SERVICE_EXTEND,1248.613,2.0182
29,3,action@android/Home/payment_extend_detail#android/payment_extend_detail/confirm_popup_close <eos>,1190.639,3.5314
29,4,action@android/Home#invite_update_cancel action@android/Home#Home/{id}/go_to_screen/ECOUNTER_SERVICE_EXTEND,1163.152,9.3027
29,5,action@android/Home/payment_extend_detail#btn_back <eos>,1143.089,48.3582
29,6,action@android/Home/payment_extend_detail#android/payment_extend_detail/confirm_popup_close action@android/Home/payment_extend_detail#btn_back,1061.222,2.1272
